Name,Type,Value,LCA unit,ESM unit,Assumptions & Sources
20% BioDiesel-Powered Light Commercial Vehicle,Operation,=1/0.75,kilometer,ton kilometer,"payload (750 kg): (Sacchi, 2021)"
Compressed Natural Gas-Powered Light Commercial Vehicle,Construction,=1 * 8760 * 0.093 / (0.75 * 22660),unit,ton kilometer per hour,"payload (750 kg), yearly distance (22660 km): (Sacchi, 2021), capacity factor (0.093): (Limpens, 2021)"
Compressed Natural Gas-Powered Light Commercial Vehicle,Operation,=1/0.75,kilometer,ton kilometer,"payload (750 kg): (Sacchi, 2021)"
Diesel-Powered Light Commercial Vehicle,Construction,=1 * 8760 * 0.093 / (0.75 * 22660),unit,ton kilometer per hour,"payload (750 kg), yearly distance (22660 km): (Sacchi, 2021), capacity factor (0.093): (Limpens, 2021)"
Diesel-Powered Light Commercial Vehicle,Operation,=1/0.75,kilometer,ton kilometer,"payload (750 kg): (Sacchi, 2021)"
Electric-Powered Light Commercial Vehicle,Construction,=1 * 8760 * 0.093 / (0.75 * 22660),unit,ton kilometer per hour,"payload (750 kg), yearly distance (22660 km): (Sacchi, 2021), capacity factor (0.093): (Limpens, 2021)"
Electric-Powered Light Commercial Vehicle,Operation,=1/0.75,kilometer,ton kilometer,"payload (750 kg): (Sacchi, 2021)"
Hydrogen Fuel Cell-Powered Light Commercial Vehicle,Construction,=1 * 8760 * 0.093 / (0.75 * 22660),unit,ton kilometer per hour,"payload (750 kg), yearly distance (22660 km): (Sacchi, 2021), capacity factor (0.093): (Limpens, 2021)"
Hydrogen Fuel Cell-Powered Light Commercial Vehicle,Operation,=1/0.75,kilometer,ton kilometer,"payload (750 kg): (Sacchi, 2021)"
Gasoline-Powered Light Commercial Vehicle,Construction,=1 * 8760 * 0.093 / (0.75 * 22660),unit,ton kilometer per hour,"payload (750 kg), yearly distance (22660 km): (Sacchi, 2021), capacity factor (0.093): (Limpens, 2021)"
Gasoline-Powered Light Commercial Vehicle,Operation,=1/0.75,kilometer,ton kilometer,"payload (750 kg): (Sacchi, 2021)"
Diesel-Powered Light Commercial Vehicle,Construction,=1 * 8760 * 0.093 / (0.75 * 22660),unit,ton kilometer per hour,"payload (750 kg), yearly distance (22660 km): (Sacchi, 2021), capacity factor (0.093): (Limpens, 2021)"
Diesel-Powered Light Commercial Vehicle,Operation,=1/0.75,kilometer,ton kilometer,"payload (750 kg): (Sacchi, 2021)"
Propane-Powered Light Commercial Vehicle,Construction,=1 * 8760 * 0.093 / (0.75 * 22660),unit,ton kilometer per hour,"payload (750 kg), yearly distance (22660 km): (Sacchi, 2021), capacity factor (0.093): (Limpens, 2021)"
Propane-Powered Light Commercial Vehicle,Operation,=1/0.75,kilometer,ton kilometer,"payload (750 kg): (Sacchi, 2021)"
Light fuel oil,Resource,=1 * 3.6 / 42.6,kilogram,kilowatt hour,"Light fuel oil LHV (42.6 MJ/kg): (Engineering ToolBox, 2003)"
Liquified natural gas,Resource,=1 * 3.6 / 39,cubic meter,kilowatt hour,"liquified natural gas LHV (39 MJ/m3): (Wernet, 2016)"
Electric Grid at Low Voltage,Construction,=0.06/0.0003 / 1000000,kilometer,kilowatt,"typical power size connected to the low-voltage electricity grid ($P_{LV}$ = 0.3 MW), mean low-voltage electricity grid transportation length ($l_{LV}$ = 0.06 km): (Schnidrig, 2023)"
Propylene Production via Metathesis,Construction,=3.6 * 8760 * 0.86 / (0.05 * 1000 * 50.285) / 1000000,unit,kilowatt,"ethylene heat of combustion (50.285 MJ/kg): (Engineering ToolBox, 2017), yearly production (0.05 Mt/yr): (Althaus, 2007), capacity factor (0.86): (Moret, 2017)"
Propylene Production via Metathesis,Operation,=3.6 / 50.285,kilogram,kilowatt hour,"ethylene heat of combustion (50.285 MJ/kg): (Engineering ToolBox, 2017)"
Methanation Process,Construction,=1/5 / 1000,unit,kilowatt,Capacity (5 MWth)
Methanation Process,Operation,=1 / 13.1,kilogram,kilowatt hour,"LHV natural gas (13.1 kWh/kg): (Engineering ToolBox, 2003)"
Conversion of Methane to Methanol,Construction,=(24*0.86)/2.7 / 1000000,unit,kilowatt,"LHV methanol (5.54 kWh/kg): (Engineering ToolBox, 2003), daily production (2700 t/day): (Wernet, 2016), capacity factor (0.86): (Moret, 2017)"
Conversion of Methane to Methanol,Operation,=1 / 5.54,kilogram,kilowatt hour,"LHV methanol (5.54 kWh/kg): (Engineering ToolBox, 2003): (Wernet, 2016)"
Methanol,Resource,=1 / 5.54,kilogram,kilowatt hour,"LHV methanol (5.54 kWh/kg): (Engineering ToolBox, 2003)"
Methanol Cabonylation Process,Construction,=3.6 * 8760 * 0.86 / (0.05 * 1000 * 14.55) / 1000000,unit,kilowatt,"acetic acid heat of combustion (14.55 MJ/kg): (Engineering ToolBox, 2017), yearly production (0.05 Mt/yr): (Althaus, 2007), capacity factor (0.86): (Moret, 2017)"
Methanol Cabonylation Process,Operation,=3.6 / 14.55,kilogram,kilowatt hour,"acetic acid heat of combustion (14.55 MJ/kg): (Engineering ToolBox, 2017)"
Methanol Synthesis via Fischer-Tropsch Process,Construction,=(24*0.86)/2.7 / 1000000,unit,kilowatt,"LHV methanol (5.54 kWh/kg): (Engineering ToolBox, 2003), capacity factor (0.86): (Moret, 2017), daily production (2700 t/day): (Wernet, 2016)"
Methanol Synthesis via Fischer-Tropsch Process,Operation,=1 / 5.54,kilogram,kilowatt hour,"LHV methanol (5.54 kWh/kg): (Engineering ToolBox, 2003)"
Conversion of Methanol to Aromatic Compounds,Construction,=3.6 * 8760 * 0.86 / (0.05 * 1000 * 41.833) / 1000000,unit,kilowatt,"benzene heat of combustion (41.833 MJ/kg): (Engineering ToolBox, 2017), yearly production (0.05 Mt/yr): (Althaus, 2007), capacity factor (0.86): (Moret, 2017)"
Conversion of Methanol to Aromatic Compounds,Operation,=3.6 / 41.833,kilogram,kilowatt hour,"benzene heat of combustion (41.833 MJ/kg): (Engineering ToolBox, 2017)"
Conversion of Methanol to Olefinic Compounds,Construction,=3.6 * 8760 * 0.86 / (0.05 * 1000 * 50.285) / 1000000,unit,kilowatt,"ethylene heat of combustion (50.285 MJ/kg): (Engineering ToolBox, 2017), yearly production (0.05 Mt/yr): (Althaus, 2007), capacity factor (0.86): (Moret, 2017)"
Conversion of Methanol to Olefinic Compounds,Operation,=3.6 / 50.285,kilogram,kilowatt hour,"ethylene heat of combustion (50.285 MJ/kg): (Engineering ToolBox, 2017)"
Sequestration of CO2 in Mines,Operation,=1,kilogram,kilogram,None
Electric Grid at Medium Voltage,Construction,=(0.06/0.0003) * (30/0.3) / 1000000,kilometer,kilowatt,"mean medium-voltage electricity grid power ($P_{MV}$ = 30 MW), typical power size connected to the low-voltage electricity grid ($P_{LV}$ = 0.3 MW), mean low-voltage electricity grid transportation length ($l_{LV}$ = 0.06 km): (Schnidrig, 2023)"
New Hydroelectric Dam,Construction,=1 / 22583 / 1000,unit,kilowatt,"Capacity (22583 MWe): (Wernet, 2016)"
New Hydroelectric Dam,Operation,=1,kilowatt hour,kilowatt hour,None
New Hydroelectric Power from River Flow,Construction,=1/13787 / 1000,unit,kilowatt,"Capacity (13787 MWe): (Wernet, 2016)"
New Hydroelectric Power from River Flow,Operation,=1,kilowatt hour,kilowatt hour,None
Natural Gas Compression from High Pressure to Extra High Pressure,Construction,=1 / 300,unit,kilowatt,Capacity (300 kW)
Natural Gas Compression from High Pressure to Extra High Pressure,Operation,=1 * 3.6 / 39,cubic meter,kilowatt hour,"natural gas LHV (39 MJ/m3): (Wernet, 2016)"
Natural Gas Compression from Low Pressure to Medium Pressure,Construction,=1 / 4,unit,kilowatt,Capacity (4 kW)
Natural Gas Compression from Low Pressure to Medium Pressure,Operation,=1 * 3.6 / 39,cubic meter,kilowatt hour,"natural gas LHV (39 MJ/m3): (Wernet, 2016)"
Natural Gas Compression from Medium Pressure to High Pressure,Construction,=1 / 300,unit,kilowatt,Capacity (300 kW)
Natural Gas Compression from Medium Pressure to High Pressure,Operation,=1 * 3.6 / 46.5,cubic meter,kilowatt hour,"natural gas LHV (46.5 MJ/kg): (Wernet, 2016)"
Natural gas,Resource,=1 * 3.6 / 39,cubic meter,kilowatt hour,"natural gas LHV (39 MJ/m3): (Wernet, 2016)"
Natural Gas Expansion from Extra High Pressure to High Pressure,Operation,=1 * 3.6 / 39,cubic meter,kilowatt hour,"natural gas LHV (39 MJ/m3): (Wernet, 2016)"
Natural Gas Expansion from Extra High Pressure to High Pressure (co-generation unit),Construction,=1 / 160,unit,kilowatt,Capacity (160 kW)
Natural Gas Expansion from Extra High Pressure to High Pressure (co-generation unit),Operation,=1 * 3.6 / 39,cubic meter,kilowatt hour,"natural gas LHV (39 MJ/m3): (Wernet, 2016)"
Natural Gas Expansion from High Pressure to Medium Pressure,Operation,=1 * 3.6 / 39,cubic meter,kilowatt hour,"natural gas LHV (39 MJ/m3): (Wernet, 2016)"
Natural Gas Expansion from High Pressure to Medium Pressure (co-generation unit),Construction,=1 / 160,unit,kilowatt,Capacity (160 kW)
Natural Gas Expansion from High Pressure to Medium Pressure (co-generation unit),Operation,=1 * 3.6 / 39,cubic meter,kilowatt hour,"natural gas LHV (39 MJ/m3): (Wernet, 2016)"
Natural Gas Expansion from Medium Pressure to Low Pressure,Operation,=1 * 3.6 / 46.5,kilogram,kilowatt hour,"natural gas LHV (46.5 MJ/kg): (Wernet, 2016)"
Natural Gas Expansion from Medium Pressure to Low Pressure (co-generation unit),Construction,=1 / 160,unit,kilowatt,Capacity (160 kW)
Natural Gas Expansion from Medium Pressure to Low Pressure (co-generation unit),Operation,=1 * 3.6 / 46.5,cubic meter,kilowatt hour,"natural gas LHV (46.5 MJ/kg): (Wernet, 2016)"
Plasma Natural Gas Pyrolysis,Construction,=1000/4000,unit,kilowatt,Capacity (4 kW)
Plasma Natural Gas Pyrolysis,Operation,=1/33.3,kilogram,kilowatt hour,"H2 LHV (33.3 kWh/kg): (Engineering ToolBox, 2003)"
Thermal Natural Gas Pyrolysis,Construction,=1000/4000,unit,kilowatt,Capacity (4 kW)
Thermal Natural Gas Pyrolysis,Operation,=1/33.3,kilogram,kilowatt hour,"H2 LHV (33.3 kWh/kg): (Engineering ToolBox, 2003)"
Natural Gas Reforming,Construction,=8760 * 0.86 / (0.05 * 1000 * 33.3) / 1000000,unit,kilowatt,"hydrogen LHV (33.3 kWh/kg): (Engineering ToolBox, 2003), yearly production (0.05 Mt/yr): (Althaus, 2007), capacity factor (0.86): (Moret, 2017)"
Natural Gas Reforming,Operation,=1 / 33.3,kilogram,kilowatt hour,"hydrogen LHV (33.3 kWh/kg): (Engineering ToolBox, 2003)"
Natural Gas Reforming (plant),Construction,1,unit,unit,None
Natural Gas Reforming (storage tank),Construction,=0.00000000254628/5.3483199147628E-10,unit,unit,"Tank per plant: (Sacchi, 2022)"
Natural Gas to Storage,Construction,=1/(16000*0.777*13.1),unit,kilowatt hour,"natural gas density (0.777 kg/m3), natural gas LHV (13.1 kWh/kg): (Engineering ToolBox, 2003)"
Nuclear Power Generation,Construction,1e-06,unit,kilowatt,power plant capacity (1 GW)
Nuclear Power Generation,Operation,1,kilowatt hour,kilowatt hour,None
Open Cycle Gas Turbine 243 MW,Construction,=1000 / 10000000,unit,kilowatt,Capacity (10 MW_el)
Open Cycle Gas Turbine 243 MW,Operation,=3.6 * 2.5,megajoule,kilowatt hour,"NG consumption (2.5 kWh per kWh electricity): (Wernet, 2016)"
Open Cycle Gas Turbine 100 MW,Construction,=1000 / 10000000,unit,kilowatt,Capacity (10 MW_el)
Open Cycle Gas Turbine 100 MW,Operation,=3.6 * 2.5,megajoule,kilowatt hour,"NG consumption (2.5 kWh per kWh electricity): (Wernet, 2016)"
Phosphoric Acid Fuel Cell,Construction,=1,unit,kilowatt,Capacity (1 kW_el)
Phosphoric Acid Fuel Cell,Operation,=1,kilowatt hour,kilowatt hour,None
Paper Production,Construction,=8760*0.85/368 / 1000000,unit,kilogram per hour,"Yearly production (368 kt/yr): (Wernet, 2016), capacity factor (0.85): (Moret, 2017)"
Paper Production,Operation,1,kilogram,kilogram,None
Paper Production (heat pump),Construction,=8760*0.85/368 / 1000000,unit,kilogram per hour,"Yearly production (368 kt/yr): (Wernet, 2016), capacity factor (0.85): (Moret, 2017)"
Paper Production (heat pump),Operation,1,kilogram,kilogram,None
Paper Production with Heat Recovery,Construction,=8760*0.85/368 / 1000000,unit,kilogram per hour,"Yearly production (368 kt/yr): (Wernet, 2016), capacity factor (0.85): (Moret, 2017)"
Paper Production with Heat Recovery,Operation,1,kilogram,kilogram,None
Polyethylene,Resource,=1,kilogram,kilogram,None
Proton Exchange Membrane Fuel Cell,Construction,=1,unit,kilowatt,Capacity (1 kW_el)
Proton Exchange Membrane Fuel Cell,Operation,1,kilowatt hour,kilowatt hour,None
Proton Exchange Membrane Electrolysis,Construction,=1/(33.3/54) / 1000,unit,kilowatt,"electricity consumption (54 kWh/kg H2): (Gerloff, 2021), LHV hydrogen (33.3 kWh/kg): (Engineering ToolBox, 2003), capacity (1 MW_el)"
Proton Exchange Membrane Electrolysis,Operation,=1 / 33.3,kilogram,kilowatt hour,"LHV hydrogen (33.3 kWh/kg): (Engineering ToolBox, 2003)"
Proton Exchange Membrane Electrolysis (plant),Construction,1,unit,unit,None
Proton Exchange Membrane Electrolysis (plant decommissioning),Construction,-1,unit,unit,None
Proton Exchange Membrane Electrolysis (stack),Construction,1,unit,unit,None
Proton Exchange Membrane Electrolysis (stack decommissioning),Construction,-1,unit,unit,None
Polyethylene terephthalate,Resource,=1,kilogram,kilogram,None
Polyethylene Terephthalate Formation,Construction,=(8760*0.86)/(0.05*1000) / 1000000,unit,kilogram per hour,"yearly production (0.05 Mt/yr): (Althaus, 2007), capacity factor (0.86): (Moret, 2017)"
Polyethylene Terephthalate Formation,Operation,1,kilogram,kilogram,None
Phenol,Resource,=1 * 3.6 / 32.45,kilogram,kilowatt hour,"phenol heat of combustion (32.45 MJ/kg): (Engineering ToolBox, 2017)"
Plane Freight,Construction,=1 * 8760 * 0.6 / (57 * 55000000/25),unit,ton kilometer per hour,"lifetime distance (55000000 km): (Wernet, 2016), lifetime (25 years): assumption, mass of goods per plane (57 t): (Fischer, 2023), capacity factor (0.60): (The World Bank, 2009)"
Plane Freight,Operation,=1,ton kilometer,ton kilometer,None
Passenger Plane long haul,Construction,=1 * 8760 * 0.444 / (265 * 49000000/25),unit,person kilometer per hour,"lifetime distance (49000000 km): (Wernet, 2016), lifetime (25 years): assumption, people per plane (265): (Fischer, 2023), capacity factor (0.444): (Fischer, 2023)"
Passenger Plane long haul,Operation,=1,person kilometer,person kilometer,None
Passenger Plane short haul,Construction,=1 * 8760 * 0.349 / (130 * 49000000/25),unit,person kilometer per hour,"lifetime distance (49000000 km): (Wernet, 2016), lifetime (25 years): assumption, people per plane (130): (Fischer, 2023), capacity factor (0.349): (Fischer, 2023)"
Passenger Plane short haul,Operation,=1,person kilometer,person kilometer,None
Polypropylene Production,Construction,=(8760*0.86)/(0.05*1000) / 1000000,unit,kilogram per hour,"yearly production (0.05 Mt/yr): (Althaus, 2007), capacity factor (0.86): (Moret, 2017)"
Polypropylene Production,Operation,1,kilogram,kilogram,None
Polypropylene,Resource,=1,kilogram,kilogram,None
Propane,Resource,=1 * 3.6 / 46.4,kilogram,kilowatt hour,"Propane LHV (46.4 MJ/kg): (Engineering ToolBox, 2003)"
Propylene,Resource,=1 * 3.6 / 45.799,kilogram,kilowatt hour,"Propylene LHV (45.799 MJ/kg): (Wikipedia, 2023)"
Polystyrene,Resource,=1,kilogram,kilogram,None
Slanted-Roof Photovoltaic Solar Energy,Construction,=1/3,unit,kilowatt,Capacity (3 kWp)
Slanted-Roof Photovoltaic Solar Energy,Operation,=1,kilowatt hour,kilowatt hour,None
Open Ground Photovoltaic Solar Energy,Construction,=1/570,unit,kilowatt,Capacity (570 kWp)
Open Ground Photovoltaic Solar Energy,Operation,1,kilowatt hour,kilowatt hour,None
Polyvinyl chloride,Resource,=1,kilogram,kilogram,None
Polyvinyl Chloride Formation,Construction,=(8760*0.86)/(0.05*1000) / 1000000,unit,kilogram per hour,"yearly production (0.05 Mt/yr): (Althaus, 2007), capacity factor (0.86): (Moret, 2017)"
Polyvinyl Chloride Formation,Operation,1,kilogram,kilogram,None
Pyrolysis Process,Construction,=8760 * 0.85 / (0.05 * 1000 * 11.28) / 1000000,unit,kilowatt,"light fuel oil LHV (11.28 kWh/kg): (Engineering ToolBox, 2003), yearly production (0.05 Mt/yr): (Althaus, 2007), capacity factor (0.85): (Moret, 2017)"
Pyrolysis Process,Operation,=1/11.28,kilogram,kilowatt hour,"light fuel oil LHV (11.28 kWh/kg): (Engineering ToolBox, 2003)"
100% BioDiesel-Powered School Bus,Construction,=1 * 8760 * 0.297 / (47 * 24000),unit,person kilometer per hour,"people per vehicle (47), yearly distance (24000 km): (CIRAIG, 2022), capacity factor (0.297): (Limpens, 2021)"
100% BioDiesel-Powered School Bus,Operation,=1,person kilometer,person kilometer,None
20% BioDiesel-Powered School Bus,Construction,=1 * 8760 * 0.297 / (47 * 24000),unit,person kilometer per hour,"people per vehicle (47), yearly distance (24000 km): (CIRAIG, 2022), capacity factor (0.297): (Limpens, 2021)"
20% BioDiesel-Powered School Bus,Operation,=1,person kilometer,person kilometer,None
Compressed Natural Gas-Powered School Bus,Construction,=1 * 8760 * 0.297 / (47 * 24000),unit,person kilometer per hour,"people per vehicle (47), yearly distance (24000 km): (CIRAIG, 2022), capacity factor (0.297): (Limpens, 2021)"
Compressed Natural Gas-Powered School Bus,Operation,=1,person kilometer,person kilometer,None
